ngram,count,rate_per_10000
eat drink,29,6.795866238605207
old man,25,5.858505378107937
ulysses answered,24,5.62416516298362
house hades,23,5.389824947859302
answered telemachus,21,4.921144517610667
come home,21,4.921144517610667
father jove,21,4.921144517610667
good things,21,4.921144517610667
answered ulysses,20,4.686804302486349
outer court,20,4.686804302486349
child morning,19,4.452464087362032
dawn appeared,19,4.452464087362032
rosy-fingered dawn,19,4.452464087362032
house ulysses,18,4.218123872237714
morning rosy-fingered,18,4.218123872237714
king alcinous,17,3.983783657113397
sea shore,17,3.983783657113397
return home,16,3.74944344198908
son laertes,16,3.74944344198908
store room,16,3.74944344198908
