ngram,count,rate_per_10000
son atreus,130,12.627979717521809
son peleus,105,10.199522079536845
son tydeus,85,8.256755969148875
father jove,73,7.0910963029160925
son saturn,72,6.993957997396693
old man,66,6.411128164280302
ships achaeans,56,5.439745109086317
house hades,52,5.051191887008723
ajax son,48,4.662638664931129
king agamemnon,47,4.565500359411731
son telamon,46,4.468362053892331
trojans achaeans,45,4.371223748372933
noble son,42,4.079808831814738
son priam,41,3.982670526295339
eat drink,39,3.7883939152565427
phoebus apollo,33,3.205564082140151
aegis-bearing jove,32,3.1084257766207526
gods men,31,3.011287471101354
sons achaeans,31,3.011287471101354
hector son,29,2.817010860062557
