bigram,count
one another,148
son atreus,130
son peleus,105
son tydeus,85
father jove,73
son saturn,72
any one,68
came up,67
old man,66
then went,59
went back,57
ships achaeans,56
house hades,52
then said,49
ajax son,48
sat down,47
king agamemnon,47
son telamon,46
went up,44
trojans achaeans,44
close up,43
noble son,42
down upon,41
thus speak,41
son priam,41
stay here,40
come here,40
thus spoke,39
let go,39
go back,37
about among,37
eat drink,37
now therefore,36
one else,36
into sea,35
home again,35
ulysses said,35
nor yet,34
phoebus apollo,33
upon ground,33
aegis-bearing jove,32
there one,32
even though,32
sons achaeans,31
then took,31
now however,31
leave off,31
said ulysses,30
into house,30
never yet,29
