ngram,count,rate_per_10000
ajax son telamon,39,3.78843071543057
hector son priam,26,2.5256204769537134
agamemnon son atreus,24,2.3313419787265044
fell heavily ground,21,2.0399242313856916
child morning rosy-fingered,20,1.942784982272087
diomed son tydeus,20,1.942784982272087
morning rosy-fingered dawn,20,1.942784982272087
rosy-fingered dawn appeared,20,1.942784982272087
noble son laertes,19,1.8456457331584826
soon eat drink,19,1.8456457331584826
achilles son peleus,17,1.6513672349312738
tell tell true,17,1.6513672349312738
ulysses noble son,16,1.5542279858176695
end deemed best,15,1.4570887367040655
menelaus son atreus,15,1.4570887367040655
hands good things,14,1.3599494875904607
laid hands good,14,1.3599494875904607
nestor knight gerene,14,1.3599494875904607
daughter aegis-bearing jove,13,1.2628102384768567
jove son saturn,13,1.2628102384768567
